ANIO,defunciones,poblacion,tasa_100k
2004,6718,8700000,77.2183908045977
2005,6719,8720916,77.04465907021694
2006,6835,8756000,78.06075833714026
2007,6847,8795000,77.85105173393974
2008,7167,8827000,81.19406366829047
2009,7265,8839000,82.19255571897273
2010,7398,8851080,83.58302037717432
2011,7500,8878000,84.47848614552828
2012,7478,8896000,84.06025179856115
2013,7655,8908000,85.93399191737764
2014,7965,8915000,89.34380257992149
2015,8019,8918653,89.9126807602
2016,8288,9013000,91.9560634638855
2017,8508,9108000,93.41238471673255
2018,8551,9159000,93.36172071186812
2019,8725,9194000,94.89884707417882
2020,8902,9209944,96.65639660784039
2021,8606,9230000,93.2394366197183
2022,8867,9265000,95.70426335671884
2023,8845,9300000,95.10752688172043
